No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
34,ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,17.06B,93.21,77.18,3.23,26.60,23.21,47.31,120.37,-,0.00%,4.04,149.60%,4.25%,51.40%,28.90%,30.30%,138.10%,35.80%,45.25M,42.98M,2.20%,-20.80%,88.80%,1.76%,2.33%,1.64,21.90%,24.90%,18.90%,6.50,5.80,0.00,0.00,83.20%,26.60%,25.70%,13.15%,-11.60%,-0.05%,7.92%,99.56%,101.13%,0.38,22.01,7.34%,6.05%,1.90%,-2.94%,7.86%,-18.01%,20.27%,-18.01%,101.87%,52.02,5.59%,4.63%,1.70,609.95K,2.42,376.94,10.47%,"1,474,062",Nov 01/b
35,ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,905.54M,9.78,10.98,1.22,2.27,1.15,8.46,7.55,8.41%,63.60%,1.22,27.40%,-17.45%,12.10%,8.00%,25.50%,-13.00%,34.10%,76.16M,57.22M,1.70%,0.39%,56.60%,0.24%,16.40%,8.89,2.20%,13.00%,2.90%,-,-,4.62,4.62,69.50%,29.60%,20.50%,0.17%,3.21%,1.28%,29.80%,44.82%,37.62%,0.09,0.21,1.97%,1.77%,1.19%,0.73%,18.03%,-3.72%,5.88%,-3.72%,50.70%,52.86,-1.74%,0.17%,2.70,1.06M,0.97,11.89,-1.57%,"1,024,816",Nov 09/b
36,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,124.31B,54.00,21.89,4.71,4.09,4.03,38.09,40.28,1.60%,393.60%,1.30,44.60%,11.02%,47.40%,11.47%,7.50%,162.00%,17.00%,1.77B,1.74B,0.70%,-2.52%,74.90%,0.15%,0.90%,2.62,0.70%,1.50%,2.20%,1.60,1.20,0.65,0.68,58.00%,8.30%,1.60%,3.66%,-2.62%,7.54%,19.42%,29.91%,22.92%,1.43,1.63,2.38%,2.41%,1.57%,1.93%,10.95%,-5.39%,8.80%,-5.39%,30.85%,56.42,1.53%,0.22%,1.80,5.95M,1.00,70.15,1.76%,"5,964,540",Oct 17/b
37,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,531.66M,17.44,13.01,-,3.97,1.60,2.45,16.41,-,0.00%,2.21,-13.90%,16.92%,16.89%,-,-,38.40%,17.90%,13.82M,11.39M,4.80%,-2.94%,46.90%,0.11%,3.80%,14.30,0.70%,6.20%,13.20%,-,-,1.01,1.01,-,70.10%,14.40%,-2.98%,-10.72%,-13.26%,-7.08%,0.44%,2.18%,-,1.67,4.40%,4.15%,-3.69%,-8.88%,-8.26%,-15.64%,3.47%,-17.89%,6.57%,40.74,-0.90%,0.28%,1.80,30.23K,1.87,38.47,-0.62%,"56,552",Oct 25/b
38,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,256.97M,-,-,-,21.24,2.25,1.66,-,-,-,-1.54,74.20%,-8.40%,-23.80%,-,-5.40%,102.90%,20.00%,53.76M,32.62M,2.70%,-3.60%,41.10%,1.56%,5.50%,3.80,-26.40%,-50.90%,-72.50%,13.70,13.70,0.00,0.00,-,-,-,11.68%,-49.68%,-50.47%,-18.98%,-11.48%,-5.35%,1.62,0.54,8.18%,13.64%,-7.62%,-38.95%,-31.90%,-57.51%,19.20%,-62.06%,19.20%,35.06,11.16%,1.42%,1.90,472.06K,0.77,4.78,12.74%,"365,546",Nov 01
39,ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,15.57B,-,30.25,-,2.06,1.75,9.17,35.14,0.90%,-,-0.86,67.00%,12.50%,36.10%,-,-10.30%,-,-7.80%,1.17B,1.15B,0.10%,0.00%,72.10%,-2.21%,4.45%,2.88,-2.60%,-7.20%,11.10%,2.60,1.40,0.64,0.64,35.50%,3.50%,-8.70%,6.13%,14.80%,20.18%,-0.97%,-6.19%,-7.81%,-0.57,0.50,3.72%,3.77%,6.80%,17.98%,7.94%,-5.39%,39.98%,-14.05%,39.98%,67.38,4.06%,2.15%,2.80,17.83M,1.16,13.34,6.29%,"20,642,474",Oct 24/a
40,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,920.01M,184.51,-,-,34.98,0.99,3.36,-,0.51%,67.30%,0.21,-26.50%,-,0.40%,-,4.50%,168.00%,-5.90%,23.41M,3.85M,0.35%,-,83.20%,-0.05%,7.73%,22.61,0.70%,0.80%,-2.10%,-,-,0.00,0.01,-,-65.80%,26.30%,1.39%,-8.26%,10.08%,4.80%,5.93%,15.25%,-,1.33,3.23%,3.01%,-3.07%,-0.17%,4.05%,-11.19%,7.82%,-11.19%,18.73%,48.38,0.98%,0.41%,-,13.15K,1.65,39.30,1.39%,"21,717",Nov 05/a
41,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2.79B,-,-,-,15.09,10.55,10.87,-,-,-,-1.47,23.20%,29.80%,-36.60%,25.90%,91.10%,8.30%,87.20%,124.91M,124.86M,0.12%,-,96.50%,1.64%,14.77%,6.33,-68.80%,-78.60%,-67.00%,6.10,6.00,0.00,0.00,94.40%,-,-,5.12%,5.67%,46.91%,25.62%,-34.92%,-25.74%,3.21,1.80,11.55%,8.06%,4.53%,21.77%,11.89%,-4.77%,69.78%,-41.16%,75.10%,57.88,13.56%,1.08%,2.10,2.91M,1.28,22.36,14.78%,"3,731,886",Nov 06/a
42,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.15%,-31.01%,38.05%,11.62%,192.39%,-8.45%,-,0.94,13.74%,11.87%,-25.51%,-18.30%,-6.40%,-46.27%,24.86%,-46.27%,198.51%,39.28,-3.03%,2.06%,-,10.49M,1.60,6.73,-1.03%,"16,785,668",-
43,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,424.94M,20.51,12.95,0.85,4.13,1.25,3.16,5.31,-,-,0.74,0.50%,16.92%,3.80%,24.00%,25.50%,85.60%,12.30%,27.92M,24.09M,1.50%,-,88.50%,0.46%,0.81%,2.58,-0.10%,-0.60%,23.00%,-,-,0.00,0.00,-,77.90%,-1.90%,-2.19%,-9.24%,-14.25%,-22.35%,-7.20%,-13.52%,-,0.60,4.94%,3.79%,-4.16%,-10.45%,-17.60%,-20.73%,5.38%,-29.54%,5.38%,38.75,0.73%,0.27%,2.50,75.37K,1.01,15.22,1.00%,"76,138",Oct 25/a
44,ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,5.48B,78.96,59.07,4.48,6.65,1.49,104.20,-,4.67%,405.10%,0.50,-25.00%,-13.38%,1.60%,17.62%,11.30%,-,12.30%,139.11M,136.10M,0.10%,-5.44%,-,0.19%,2.01%,4.44,0.90%,1.70%,2.30%,-,-,0.78,0.78,53.10%,17.40%,7.20%,-3.50%,-3.79%,-4.55%,-0.23%,-6.64%,-3.97%,0.13,0.80,1.86%,2.11%,-2.12%,-4.28%,-1.32%,-8.14%,2.60%,-10.17%,14.14%,40.92,-0.28%,0.00%,2.50,616.35K,1.49,39.40,-0.28%,"919,025",Oct 22/a
45,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,893.11M,8.05,5.78,0.81,0.45,1.20,-,6.25,2.83%,9.10%,1.05,9.30%,9.57%,-4.70%,10.00%,2.10%,13.30%,1.80%,105.32M,102.27M,0.60%,-3.01%,96.80%,1.30%,3.81%,7.18,5.00%,18.70%,8.30%,1.70,1.10,1.35,1.43,33.30%,10.10%,7.00%,-16.37%,-23.88%,-33.75%,-28.14%,-33.23%,-30.49%,1.37,0.47,7.67%,4.01%,-15.94%,-24.37%,-31.93%,-32.83%,14.75%,-42.02%,14.75%,25.23,4.69%,0.37%,2.00,543.01K,1.76,8.48,5.08%,"955,514",Oct 30/b
46,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,259.08M,-,-,-,-,13.58,31.21,-,-,-,-2.11,83.90%,0.90%,56.90%,-,-,36.00%,-,10.20M,7.57M,18.88%,-,36.90%,16.53%,1.58%,2.12,-83.40%,-94.70%,-,3.30,3.30,0.00,0.00,-,-,-,11.40%,-8.96%,20.38%,36.19%,43.10%,83.39%,2.64,2.03,10.04%,8.84%,3.07%,-10.51%,15.22%,-25.51%,26.94%,-25.51%,123.59%,50.29,11.70%,0.71%,1.60,56.63K,1.00,25.40,12.49%,"56,448",Aug 13
47,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.75%,-5.29%,-4.95%,-,-,-3.29%,-,0.34,1.07%,0.68%,0.80%,-3.70%,-4.10%,-9.57%,3.92%,-9.57%,3.92%,47.85,0.00%,0.45%,-,3.92K,0.00,24.38,0.45%,10,-
48,ACET,Aceto Corporation,Basic Materials,Chemicals - Major Diversified,USA,66.48M,-,-,-,0.09,0.80,0.64,0.75,1.86%,-,-10.65,225.00%,-,-66.10%,10.00%,7.30%,-,-13.20%,30.92M,28.01M,1.70%,-8.28%,59.20%,0.01%,2.18%,1.43,-43.50%,-150.00%,-69.50%,1.70,1.20,3.18,3.33,15.70%,-38.70%,-54.50%,3.86%,-7.73%,-33.02%,-17.62%,-77.93%,-79.19%,1.58,0.13,5.02%,5.26%,-0.81%,-19.09%,-53.04%,-40.77%,7.50%,-82.05%,7.50%,38.63,1.42%,3.41%,3.50,426.98K,0.63,2.15,4.88%,"268,547",Nov 08/a
49,ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,11.57B,22.05,12.09,11.52,2.10,1.39,21.97,11.11,-,0.00%,1.30,-20.80%,6.51%,0.90%,1.92%,9.50%,35.70%,1.90%,403.33M,392.47M,1.20%,-1.07%,93.40%,0.57%,1.04%,4.05,1.60%,6.50%,7.10%,-,-,0.27,0.27,-,13.40%,9.50%,7.98%,-2.05%,-4.24%,9.18%,-12.04%,-5.18%,0.75,0.67,2.97%,2.37%,3.72%,-1.71%,0.62%,-8.40%,9.84%,-13.84%,11.61%,56.09,0.60%,0.53%,2.60,1.01M,2.05,28.69,1.13%,"2,066,353",Oct 30/a
50,ACGLO,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,9.16B,18.15,-,-,1.64,1.09,-,-,6.01%,-,1.25,-,-,-,-,-,31.60%,0.20%,404.80M,357.77M,-,-,31.46%,-,0.00%,0.26,-,-,-,-,-,-,-,-,-,-,0.80%,-0.57%,-7.67%,-6.06%,-10.02%,-10.73%,-,0.25,0.85%,0.98%,1.17%,-3.30%,-6.47%,-9.08%,3.05%,-12.43%,3.05%,45.44,0.22%,0.13%,-,27.40K,1.17,22.62,0.35%,"32,106",-
51,ACGLP,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,8.99B,17.82,-,-,1.61,1.07,-,-,6.17%,-,1.25,-,-,-,-,-,31.60%,0.20%,404.80M,357.77M,0.11%,-,28.68%,-,0.01%,0.87,-,-,-,-,-,-,-,-,-,-,0.00%,-1.90%,-7.11%,-6.33%,-11.06%,-11.62%,-,0.24,0.68%,1.03%,0.58%,-3.29%,-6.08%,-8.30%,3.26%,-12.08%,3.26%,40.78,-0.09%,0.05%,-,42.05K,0.68,22.20,-0.05%,"28,533",-
52,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,7.81B,31.68,-,-,0.32,0.89,1.83,4.69,-,0.00%,0.31,390.80%,-,16.40%,-,3.80%,52.50%,64.30%,797.50M,138.36M,-,-,1.40%,0.12%,0.23%,5.51,0.70%,3.30%,4.90%,0.90,0.60,0.98,2.02,8.50%,4.90%,0.80%,1.87%,-16.96%,-5.50%,-29.11%,-49.35%,-45.40%,0.39,0.41,3.00%,2.84%,-1.76%,-5.26%,-22.71%,-19.29%,12.01%,-50.33%,12.01%,49.23,2.62%,4.84%,-,58.52K,0.97,9.79,7.58%,"56,937",Nov 14
53,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,3.86B,20.10,16.27,1.74,1.31,1.47,48.53,45.93,-,0.00%,2.23,9.60%,8.95%,31.20%,11.56%,47.40%,18.10%,7.00%,86.22M,86.22M,0.20%,-4.51%,-,0.42%,16.10%,8.70,3.50%,8.60%,6.10%,1.20,1.20,1.20,1.21,-,14.20%,7.60%,15.99%,27.24%,9.47%,12.58%,46.87%,37.14%,0.30,2.24,6.11%,6.43%,18.51%,18.92%,14.45%,5.32%,38.25%,-0.60%,66.23%,71.03,3.06%,4.63%,2.10,1.59M,2.63,44.75,7.83%,"4,189,024",Nov 05/a
54,ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,428.18M,-,-,-,-,1.45,1.49,-,-,-,-0.58,-37.60%,-20.00%,0.50%,17.58%,-,24.60%,-,138.57M,138.41M,0.10%,0.00%,83.30%,0.04%,5.09%,5.25,-24.40%,-25.30%,-,35.90,35.90,0.00,0.00,-,-,-,2.66%,-20.57%,23.60%,-16.26%,-20.77%,7.29%,1.61,0.22,6.92%,7.70%,-0.43%,-4.89%,-4.29%,-22.36%,20.23%,-28.80%,32.62%,47.68,7.29%,0.70%,2.00,1.34M,0.90,3.09,8.04%,"1,210,904",Nov 07/b
55,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,USA,12.77M,-,-,-,-,0.20,-,-,-,-,-16.36,70.10%,-,33.60%,-,-,-137.30%,-,6.08M,5.43M,0.10%,-,13.30%,4.93%,10.30%,0.52,-126.70%,-155.80%,-,5.60,5.60,0.00,0.00,-,-,-,-4.11%,-17.97%,-33.96%,-84.09%,-88.14%,-84.37%,2.22,0.31,15.76%,10.25%,-9.81%,-21.50%,-74.12%,-60.00%,13.51%,-93.44%,13.51%,36.58,4.48%,-1.47%,1.00,1.08M,0.22,2.10,2.94%,"241,219",-
56,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,1.56B,92.59,27.91,-,4.74,2.91,5.15,43.78,-,-,0.39,-48.50%,148.95%,-,-12.00%,-,-171.80%,-17.60%,42.84M,35.18M,7.80%,-1.41%,87.00%,-5.56%,9.50%,5.52,-2.40%,-2.80%,13.10%,6.90,6.10,0.00,0.00,41.10%,-3.90%,-4.30%,-0.63%,-11.93%,-3.82%,24.51%,-15.94%,0.69%,-,1.76,5.45%,4.64%,-2.18%,-6.35%,0.06%,-14.62%,10.61%,-19.49%,47.57%,46.05,4.65%,1.13%,2.50,605.25K,1.38,36.48,5.83%,"832,805",Nov 01/a
57,ACIM,SPDR MSCI ACWI IMI ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91,-,-,-,-,-,-,-,-,-,-,1.26%,-6.18%,-4.84%,-3.72%,-1.10%,-3.75%,-,1.11,1.59%,1.28%,-0.85%,-3.81%,-4.07%,-7.09%,3.87%,-10.00%,3.87%,45.17,0.38%,0.26%,-,3.91K,0.44,75.91,0.64%,"1,720",-
58,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,544.30M,-,-,-,25.92,5.25,5.30,-,-,-,-0.48,-226.60%,-4.40%,-,-,-,10.20%,150.00%,62.42M,41.04M,52.70%,0.00%,18.40%,2.33%,3.16%,9.32,-22.40%,-25.40%,-19.20%,9.70,9.70,0.01,0.01,-,-,-,8.32%,7.13%,-6.03%,-12.10%,-27.03%,-31.87%,-,0.61,7.75%,8.16%,2.19%,3.25%,-15.28%,-15.83%,21.79%,-49.89%,21.79%,52.17,5.57%,-0.24%,1.50,139.40K,0.32,8.72,5.31%,"45,135",Nov 12/b
59,ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3.00B,80.22,29.57,6.69,3.01,3.12,50.86,48.32,-,0.00%,0.32,-68.50%,62.26%,-3.40%,12.00%,9.00%,50.40%,-2.30%,118.00M,113.75M,2.30%,-6.34%,-,0.13%,7.55%,17.78,0.10%,0.30%,5.70%,1.50,1.50,0.70,0.72,55.10%,10.10%,0.30%,0.39%,-6.68%,-5.81%,9.47%,6.98%,12.17%,1.30,0.80,3.86%,3.10%,-1.32%,-6.50%,0.43%,-12.25%,5.87%,-12.25%,25.70%,44.70,0.99%,0.36%,2.00,483.12K,1.37,25.43,1.36%,"660,506",Nov 08/b
60,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,614.93M,5.21,10.50,0.26,1.33,1.56,4.17,18.58,-,0.00%,3.58,891.50%,31.75%,36.80%,20.00%,15.10%,2.90%,16.10%,32.99M,31.75M,2.60%,-0.81%,85.30%,0.12%,5.89%,5.83,28.00%,38.70%,30.40%,5.40,3.50,0.12,0.12,37.30%,13.50%,28.60%,5.85%,-6.57%,-19.66%,-15.85%,-41.38%,-35.05%,0.94,0.88,6.72%,5.17%,6.05%,-1.25%,-15.07%,-10.17%,18.58%,-49.69%,18.58%,53.62,6.27%,1.62%,1.80,320.64K,0.83,18.64,8.00%,"267,580",Nov 01/a
61,ACM,AECOM,Services,Technical Services,USA,4.93B,50.48,10.09,10.37,0.25,1.20,-,12.85,-,0.00%,0.60,246.30%,12.39%,43.40%,4.87%,17.20%,-41.50%,12.90%,162.22M,159.67M,0.69%,-1.96%,86.40%,1.09%,4.95%,9.69,1.00%,3.50%,8.20%,1.20,1.20,0.91,0.95,3.20%,2.10%,0.70%,-0.03%,-7.26%,-9.66%,-10.88%,-13.71%,-18.20%,1.51,0.78,3.71%,2.48%,-2.08%,-5.59%,-10.89%,-10.93%,4.33%,-23.83%,4.33%,42.05,3.83%,0.45%,2.30,816.30K,0.91,30.39,4.29%,"736,430",Nov 12/b
62,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,162.20M,65.79,20.62,3.29,3.08,3.47,9.32,-,-,0.00%,0.15,-148.40%,90.20%,-,20.00%,-,785.10%,137.50%,16.22M,6.02M,1.80%,-,12.00%,0.10%,7.90%,11.08,4.00%,8.50%,0.30%,2.30,1.50,0.00,0.22,47.90%,5.50%,5.40%,3.63%,-10.47%,-32.16%,-7.49%,-,90.48%,-,0.44,4.16%,4.45%,-1.16%,-13.12%,-10.61%,-30.36%,7.64%,-35.88%,110.81%,42.24,4.28%,0.42%,2.00,42.88K,0.17,10.00,4.71%,"7,858",Nov 07/a
63,ACN,Accenture plc,Technology,Information Technology Services,Ireland,102.85B,23.99,19.98,2.87,2.47,9.80,20.31,27.81,1.84%,41.20%,6.61,21.50%,9.87%,6.00%,8.37%,6.50%,6.60%,10.40%,648.55M,613.42M,0.20%,-8.12%,78.00%,0.24%,1.12%,3.37,17.30%,41.70%,42.60%,1.30,1.30,0.00,0.00,29.90%,14.00%,9.80%,1.06%,-8.94%,-1.12%,3.35%,10.93%,3.59%,1.02,3.64,2.22%,2.21%,-0.84%,-4.61%,-1.16%,-9.71%,5.28%,-9.71%,12.09%,46.24,0.43%,0.18%,2.30,2.03M,0.86,158.58,0.61%,"1,771,649",Sep 27/b
64,ACNB,ACNB Corporation,Financial,Regional - Southwest Banks,USA,291.90M,15.32,-,-,4.66,1.80,4.36,22.11,2.25%,45.00%,2.67,-2.30%,-,3.30%,-,5.10%,73.80%,44.50%,7.13M,6.74M,3.20%,1.89%,21.70%,1.04%,0.33%,2.77,0.70%,7.70%,26.90%,-,-,0.00,0.00,-,80.40%,19.30%,8.36%,8.88%,20.41%,32.28%,48.33%,38.54%,0.28,1.64,4.06%,4.23%,9.26%,9.73%,25.15%,-1.23%,19.74%,-1.23%,52.76%,64.88,1.09%,1.00%,-,7.92K,1.27,40.94,2.09%,"10,428",Nov 02
65,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,944.40M,-,-,-,1.60,1.56,2.41,4.99,-,-,-3.16,-497.30%,-1005.30%,-26.10%,29.00%,14.00%,648.60%,10.00%,46.80M,46.67M,1.40%,-75.15%,-,-0.52%,14.69%,8.69,-12.70%,-26.90%,-22.30%,4.10,3.90,0.56,0.56,77.40%,-27.30%,-26.90%,11.74%,4.13%,-23.12%,-14.13%,-28.31%,-5.92%,1.57,1.39,8.35%,7.77%,11.74%,-3.10%,-18.28%,-32.17%,29.36%,-44.48%,29.36%,52.52,3.49%,2.04%,2.90,788.71K,1.40,20.18,5.60%,"1,166,662",Oct 31/b
66,ACP,Avenue Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.73%,-,40.40%,100.00%,-,0.14,-,-,-,-,-,-,-,-,-,-,-0.36%,-6.57%,-5.84%,-5.16%,-9.65%,-6.04%,-,0.22,1.92%,1.69%,-3.23%,-5.79%,-5.80%,-8.96%,3.72%,-10.20%,3.72%,35.88,0.32%,0.38%,-,70.31K,1.02,13.18,0.71%,"71,296",-
67,ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,416.58M,11.44,11.32,2.66,3.76,0.97,83.32,-,8.08%,87.40%,1.25,17.20%,-4.30%,106.30%,4.30%,60.10%,38.20%,31.00%,29.03M,25.63M,1.00%,0.00%,64.30%,0.32%,0.56%,1.45,2.10%,8.50%,1.70%,-,-,3.27,3.27,41.10%,32.60%,32.40%,2.43%,4.59%,2.28%,6.93%,9.04%,11.24%,0.56,0.27,2.63%,1.90%,3.24%,1.48%,6.75%,-2.83%,6.53%,-2.83%,19.98%,57.64,-1.03%,0.21%,2.40,98.60K,1.02,14.35,-0.83%,"102,066",Oct 30/b
